"","year","willid","site","site_full","season","treat","height","willid_full","exp","dam","browse","beaver_status","beaver_year"
"23",2018,785,"wb4","wb4-obs","fall","bv",284,"wb4-obs-785",0,0,1,"bv",2019
"24",2018,782,"wb4","wb4-obs","fall","bv",125,"wb4-obs-782",0,0,1,"bv",2019
"25",2019,493,"crystal","crystal-obs","fall","bv",169,"crystal-obs-493",0,0,1,"bv",2019
"26",2019,924,"crystal","crystal-obs","fall","bv",124,"crystal-obs-924",0,0,1,"bv",2019
"27",2019,848,"crystal","crystal-obs","fall","bv",165,"crystal-obs-848",0,0,1,"bv",2019
"28",2019,828,"crystal","crystal-obs","fall","bv",180,"crystal-obs-828",0,0,1,"bv",2019
"29",2019,4,"crystal","crystal-obs","fall","bv",340,"crystal-obs-4",0,0,1,"bv",2019
"30",2019,795,"crystal","crystal-obs","fall","bv",450,"crystal-obs-795",0,0,1,"bv",2019
"31",2019,795,"crystal","crystal-obs","fall","bv",346,"crystal-obs-795",0,0,1,"bv",2019
"32",2019,7,"crystal","crystal-obs","fall","bv",395,"crystal-obs-7",0,0,1,"bv",2019
"33",2019,832,"crystal","crystal-obs","fall","bv",276,"crystal-obs-832",0,0,1,"bv",2019
"34",2019,863,"crystal","crystal-obs","fall","bv",176,"crystal-obs-863",0,0,1,"bv",2019
"35",2019,414,"crystal","crystal-obs","fall","bv",275,"crystal-obs-414",0,0,1,"bv",2019
"36",2019,723,"crystal","crystal-obs","fall","bv",178,"crystal-obs-723",0,0,1,"bv",2019
"37",2019,9,"crystal","crystal-obs","fall","bv",441,"crystal-obs-9",0,0,1,"bv",2019
"38",2019,2563,"crystal","crystal-obs","fall","bv",315,"crystal-obs-2563",0,0,1,"bv",2019
"39",2019,2524,"crystal","crystal-obs","fall","bv",275,"crystal-obs-2524",0,0,1,"bv",2019
"40",2019,2536,"crystal","crystal-obs","fall","bv",245,"crystal-obs-2536",0,0,1,"bv",2019
"41",2019,2533,"crystal","crystal-obs","fall","bv",270,"crystal-obs-2533",0,0,1,"bv",2019
"42",2019,2539,"crystal","crystal-obs","fall","bv",254,"crystal-obs-2539",0,0,1,"bv",2019
"43",2019,2545,"crystal","crystal-obs","fall","bv",470,"crystal-obs-2545",0,0,1,"bv",2019
"44",2019,2554,"crystal","crystal-obs","fall","bv",61,"crystal-obs-2554",0,0,1,"bv",2019
"45",2019,2548,"crystal","crystal-obs","fall","bv",167,"crystal-obs-2548",0,0,1,"bv",2019
"46",2019,20,"crystal","crystal-obs","fall","bv",149,"crystal-obs-20",0,0,1,"bv",2019
"47",2019,23,"crystal","crystal-obs","fall","bv",185,"crystal-obs-23",0,0,1,"bv",2019
"48",2019,2515,"crystal","crystal-obs","fall","bv",241,"crystal-obs-2515",0,0,1,"bv",2019
"49",2019,2521,"crystal","crystal-obs","fall","bv",141,"crystal-obs-2521",0,0,1,"bv",2019
"50",2019,2518,"crystal","crystal-obs","fall","bv",352,"crystal-obs-2518",0,0,1,"bv",2019
"51",2019,2527,"crystal","crystal-obs","fall","bv",381,"crystal-obs-2527",0,0,1,"bv",2019
"52",2019,2551,"crystal","crystal-obs","fall","bv",142,"crystal-obs-2551",0,0,1,"bv",2019
"53",2019,2557,"crystal","crystal-obs","fall","bv",204,"crystal-obs-2557",0,0,1,"bv",2019
"54",2019,25,"crystal","crystal-obs","fall","bv",124,"crystal-obs-25",0,0,1,"bv",2019
"55",2019,2542,"crystal","crystal-obs","fall","bv",167,"crystal-obs-2542",0,0,1,"bv",2019
"56",2019,857,"crystal","crystal-obs","fall","bv",171,"crystal-obs-857",0,0,1,"bv",2019
"57",2019,851,"crystal","crystal-obs","fall","bv",113,"crystal-obs-851",0,0,1,"bv",2019
"58",2019,2575,"crystal","crystal-obs","fall","bv",271,"crystal-obs-2575",0,0,1,"bv",2019
"59",2019,2566,"crystal","crystal-obs","fall","bv",394,"crystal-obs-2566",0,0,1,"bv",2019
"60",2019,2569,"crystal","crystal-obs","fall","bv",231,"crystal-obs-2569",0,0,1,"bv",2019
"61",2019,25,"crystal","crystal-obs","fall","bv",172,"crystal-obs-25",0,0,1,"bv",2019
"62",2019,2563,"crystal","crystal-obs","fall","bv",172,"crystal-obs-2563",0,0,1,"bv",2019
"63",2019,2578,"crystal","crystal-obs","fall","bv",472,"crystal-obs-2578",0,0,1,"bv",2019
"64",2019,2584,"crystal","crystal-obs","fall","bv",520,"crystal-obs-2584",0,0,1,"bv",2019
"65",2019,2581,"crystal","crystal-obs","fall","bv",550,"crystal-obs-2581",0,0,1,"bv",2019
"66",2019,2587,"crystal","crystal-obs","fall","bv",475,"crystal-obs-2587",0,0,1,"bv",2019
"67",2019,2572,"crystal","crystal-obs","fall","bv",566,"crystal-obs-2572",0,0,1,"bv",2019
"68",2019,26,"crystal","crystal-obs","fall","bv",343,"crystal-obs-26",0,0,1,"bv",2019
"69",2019,29,"crystal","crystal-obs","fall","bv",333,"crystal-obs-29",0,0,1,"bv",2019
"70",2019,2512,"crystal","crystal-obs","fall","bv",500,"crystal-obs-2512",0,0,1,"bv",2019
"71",2019,7,"wb4","wb4-obs","fall","bv",374,"wb4-obs-7",0,0,1,"bv",2019
"72",2019,771,"wb4","wb4-obs","fall","bv",290,"wb4-obs-771",0,0,1,"bv",2019
"73",2019,772,"wb4","wb4-obs","fall","bv",223,"wb4-obs-772",0,0,1,"bv",2019
"74",2019,773,"wb4","wb4-obs","fall","bv",325,"wb4-obs-773",0,0,1,"bv",2019
"75",2019,775,"wb4","wb4-obs","fall","bv",259,"wb4-obs-775",0,0,1,"bv",2019
"76",2019,776,"wb4","wb4-obs","fall","bv",267,"wb4-obs-776",0,0,1,"bv",2019
"77",2019,778,"wb4","wb4-obs","fall","bv",187,"wb4-obs-778",0,0,1,"bv",2019
"78",2019,782,"wb4","wb4-obs","fall","bv",105,"wb4-obs-782",0,0,1,"bv",2019
"79",2019,784,"wb4","wb4-obs","fall","bv",171,"wb4-obs-784",0,0,1,"bv",2019
"80",2019,785,"wb4","wb4-obs","fall","bv",306,"wb4-obs-785",0,0,1,"bv",2019
"81",2019,789,"wb4","wb4-obs","fall","bv",91,"wb4-obs-789",0,0,1,"bv",2019
"82",2019,792,"wb4","wb4-obs","fall","bv",342,"wb4-obs-792",0,0,1,"bv",2019
"83",2019,795,"wb4","wb4-obs","fall","bv",342,"wb4-obs-795",0,0,1,"bv",2019
"84",2019,795,"wb4","wb4-obs","fall","bv",344,"wb4-obs-795",0,0,1,"bv",2019
"85",2019,824,"wb4","wb4-obs","fall","bv",344,"wb4-obs-824",0,0,1,"bv",2019
"86",2019,824,"wb4","wb4-obs","fall","bv",265,"wb4-obs-824",0,0,1,"bv",2019
"87",2019,825,"wb4","wb4-obs","fall","bv",265,"wb4-obs-825",0,0,1,"bv",2019
"88",2019,825,"wb4","wb4-obs","fall","bv",271,"wb4-obs-825",0,0,1,"bv",2019
"89",2019,715,"wb4","wb4-obs","fall","bv",342,"wb4-obs-715",0,0,1,"bv",2019
"90",2019,752,"wb4","wb4-obs","fall","bv",171,"wb4-obs-752",0,0,1,"bv",2019
"91",2019,753,"wb4","wb4-obs","fall","bv",106,"wb4-obs-753",0,0,1,"bv",2019
"92",2019,754,"wb4","wb4-obs","fall","bv",381,"wb4-obs-754",0,0,1,"bv",2019
"93",2019,757,"wb4","wb4-obs","fall","bv",312,"wb4-obs-757",0,0,1,"bv",2019
"94",2019,758,"wb4","wb4-obs","fall","bv",329,"wb4-obs-758",0,0,1,"bv",2019
"95",2019,759,"wb4","wb4-obs","fall","bv",400,"wb4-obs-759",0,0,1,"bv",2019
"96",2019,7,"wb4","wb4-obs","fall","bv",165,"wb4-obs-7",0,0,1,"bv",2019
"97",2019,762,"wb4","wb4-obs","fall","bv",111,"wb4-obs-762",0,0,1,"bv",2019
"98",2019,763,"wb4","wb4-obs","fall","bv",260,"wb4-obs-763",0,0,1,"bv",2019
"99",2019,764,"wb4","wb4-obs","fall","bv",265,"wb4-obs-764",0,0,1,"bv",2019
"100",2019,766,"wb4","wb4-obs","fall","bv",375,"wb4-obs-766",0,0,1,"bv",2019
"101",2019,767,"wb4","wb4-obs","fall","bv",210,"wb4-obs-767",0,0,1,"bv",2019
"102",2019,777,"wb4","wb4-obs","fall","bv",103,"wb4-obs-777",0,0,1,"bv",2019
"103",2018,775,"wb4","wb4-obs","spring","bv",225,"wb4-obs-775",0,0,1,"bv",2019
"104",2018,778,"wb4","wb4-obs","spring","bv",154,"wb4-obs-778",0,0,1,"bv",2019
"105",2018,771,"wb4","wb4-obs","spring","bv",237,"wb4-obs-771",0,0,1,"bv",2019
"106",2018,7,"wb4","wb4-obs","spring","bv",284,"wb4-obs-7",0,0,1,"bv",2019
"107",2018,772,"wb4","wb4-obs","spring","bv",280,"wb4-obs-772",0,0,1,"bv",2019
"108",2018,773,"wb4","wb4-obs","spring","bv",296,"wb4-obs-773",0,0,1,"bv",2019
"109",2018,765,"wb4","wb4-obs","spring","bv",229,"wb4-obs-765",0,0,1,"bv",2019
"110",2018,766,"wb4","wb4-obs","spring","bv",364,"wb4-obs-766",0,0,1,"bv",2019
"111",2018,767,"wb4","wb4-obs","spring","bv",142,"wb4-obs-767",0,0,1,"bv",2019
"112",2018,764,"wb4","wb4-obs","spring","bv",233,"wb4-obs-764",0,0,1,"bv",2019
"113",2018,763,"wb4","wb4-obs","spring","bv",267,"wb4-obs-763",0,0,1,"bv",2019
"114",2018,762,"wb4","wb4-obs","spring","bv",99,"wb4-obs-762",0,0,1,"bv",2019
"115",2018,7,"wb4","wb4-obs","spring","bv",119,"wb4-obs-7",0,0,1,"bv",2019
"116",2018,795,"wb4","wb4-obs","spring","bv",310,"wb4-obs-795",0,0,1,"bv",2019
"117",2018,7,"wb4","wb4-obs","spring","bv",324,"wb4-obs-7",0,0,1,"bv",2019
"118",2018,776,"wb4","wb4-obs","spring","bv",216,"wb4-obs-776",0,0,1,"bv",2019
"119",2019,414,"crystal","crystal-obs","spring","bv",254,"crystal-obs-414",0,0,1,"bv",2019
"120",2019,795,"crystal","crystal-obs","spring","bv",396,"crystal-obs-795",0,0,1,"bv",2019
"121",2019,832,"crystal","crystal-obs","spring","bv",243,"crystal-obs-832",0,0,1,"bv",2019
"122",2019,836,"crystal","crystal-obs","spring","bv",116,"crystal-obs-836",0,0,1,"bv",2019
"123",2019,851,"crystal","crystal-obs","spring","bv",104,"crystal-obs-851",0,0,1,"bv",2019
"124",2019,911,"crystal","crystal-obs","spring","bv",227,"crystal-obs-911",0,0,1,"bv",2019
"125",2019,924,"crystal","crystal-obs","spring","bv",101,"crystal-obs-924",0,0,1,"bv",2019
"126",2019,7,"crystal","crystal-obs","spring","bv",370,"crystal-obs-7",0,0,1,"bv",2019
"127",2019,9,"crystal","crystal-obs","spring","bv",407,"crystal-obs-9",0,0,1,"bv",2019
"128",2019,4,"crystal","crystal-obs","spring","bv",285,"crystal-obs-4",0,0,1,"bv",2019
"129",2019,493,"crystal","crystal-obs","spring","bv",198,"crystal-obs-493",0,0,1,"bv",2019
"130",2019,863,"crystal","crystal-obs","spring","bv",206,"crystal-obs-863",0,0,1,"bv",2019
"131",2019,846,"crystal","crystal-obs","spring","bv",113,"crystal-obs-846",0,0,1,"bv",2019
"132",2019,837,"crystal","crystal-obs","spring","bv",298,"crystal-obs-837",0,0,1,"bv",2019
"133",2019,857,"crystal","crystal-obs","spring","bv",191,"crystal-obs-857",0,0,1,"bv",2019
"134",2019,854,"crystal","crystal-obs","spring","bv",115,"crystal-obs-854",0,0,1,"bv",2019
"135",2019,2581,"crystal","crystal-obs","spring","bv",541,"crystal-obs-2581",0,0,1,"bv",2019
"136",2019,20,"crystal","crystal-obs","spring","bv",320,"crystal-obs-20",0,0,1,"bv",2019
"137",2019,23,"crystal","crystal-obs","spring","bv",385,"crystal-obs-23",0,0,1,"bv",2019
"138",2019,26,"crystal","crystal-obs","spring","bv",366,"crystal-obs-26",0,0,1,"bv",2019
"139",2019,29,"crystal","crystal-obs","spring","bv",321,"crystal-obs-29",0,0,1,"bv",2019
"140",2019,25,"crystal","crystal-obs","spring","bv",179,"crystal-obs-25",0,0,1,"bv",2019
"141",2019,2563,"crystal","crystal-obs","spring","bv",366,"crystal-obs-2563",0,0,1,"bv",2019
"142",2019,2566,"crystal","crystal-obs","spring","bv",378,"crystal-obs-2566",0,0,1,"bv",2019
"143",2019,2569,"crystal","crystal-obs","spring","bv",238,"crystal-obs-2569",0,0,1,"bv",2019
"144",2019,2572,"crystal","crystal-obs","spring","bv",598,"crystal-obs-2572",0,0,1,"bv",2019
"145",2019,2575,"crystal","crystal-obs","spring","bv",305,"crystal-obs-2575",0,0,1,"bv",2019
"146",2019,2578,"crystal","crystal-obs","spring","bv",541,"crystal-obs-2578",0,0,1,"bv",2019
"147",2019,2515,"crystal","crystal-obs","spring","bv",531,"crystal-obs-2515",0,0,1,"bv",2019
"148",2019,2518,"crystal","crystal-obs","spring","bv",542,"crystal-obs-2518",0,0,1,"bv",2019
"149",2019,2521,"crystal","crystal-obs","spring","bv",232,"crystal-obs-2521",0,0,1,"bv",2019
"150",2019,2524,"crystal","crystal-obs","spring","bv",149,"crystal-obs-2524",0,0,1,"bv",2019
"151",2019,2542,"crystal","crystal-obs","spring","bv",352,"crystal-obs-2542",0,0,1,"bv",2019
"152",2019,2545,"crystal","crystal-obs","spring","bv",499,"crystal-obs-2545",0,0,1,"bv",2019
"153",2019,2557,"crystal","crystal-obs","spring","bv",224,"crystal-obs-2557",0,0,1,"bv",2019
"154",2019,2554,"crystal","crystal-obs","spring","bv",280,"crystal-obs-2554",0,0,1,"bv",2019
"155",2019,2551,"crystal","crystal-obs","spring","bv",291,"crystal-obs-2551",0,0,1,"bv",2019
"156",2019,2548,"crystal","crystal-obs","spring","bv",64,"crystal-obs-2548",0,0,1,"bv",2019
"157",2019,2536,"crystal","crystal-obs","spring","bv",288,"crystal-obs-2536",0,0,1,"bv",2019
"158",2019,2533,"crystal","crystal-obs","spring","bv",283,"crystal-obs-2533",0,0,1,"bv",2019
"159",2019,2539,"crystal","crystal-obs","spring","bv",272,"crystal-obs-2539",0,0,1,"bv",2019
"160",2019,25,"crystal","crystal-obs","spring","bv",208,"crystal-obs-25",0,0,1,"bv",2019
"161",2019,778,"wb4","wb4-obs","spring","bv",175,"wb4-obs-778",0,0,1,"bv",2019
"162",2019,771,"wb4","wb4-obs","spring","bv",272,"wb4-obs-771",0,0,1,"bv",2019
"163",2019,7,"wb4","wb4-obs","spring","bv",326,"wb4-obs-7",0,0,1,"bv",2019
"164",2019,772,"wb4","wb4-obs","spring","bv",196,"wb4-obs-772",0,0,1,"bv",2019
"165",2019,773,"wb4","wb4-obs","spring","bv",314,"wb4-obs-773",0,0,1,"bv",2019
"166",2019,765,"wb4","wb4-obs","spring","bv",266,"wb4-obs-765",0,0,1,"bv",2019
"167",2019,766,"wb4","wb4-obs","spring","bv",363,"wb4-obs-766",0,0,1,"bv",2019
"168",2019,767,"wb4","wb4-obs","spring","bv",194,"wb4-obs-767",0,0,1,"bv",2019
"169",2019,764,"wb4","wb4-obs","spring","bv",263,"wb4-obs-764",0,0,1,"bv",2019
"170",2019,763,"wb4","wb4-obs","spring","bv",283,"wb4-obs-763",0,0,1,"bv",2019
"171",2019,789,"wb4","wb4-obs","spring","bv",81,"wb4-obs-789",0,0,1,"bv",2019
"172",2019,792,"wb4","wb4-obs","spring","bv",349,"wb4-obs-792",0,0,1,"bv",2019
"173",2019,782,"wb4","wb4-obs","spring","bv",83,"wb4-obs-782",0,0,1,"bv",2019
"174",2019,754,"wb4","wb4-obs","spring","bv",374,"wb4-obs-754",0,0,1,"bv",2019
"175",2019,755,"wb4","wb4-obs","spring","bv",189,"wb4-obs-755",0,0,1,"bv",2019
"176",2019,756,"wb4","wb4-obs","spring","bv",191,"wb4-obs-756",0,0,1,"bv",2019
"177",2019,752,"wb4","wb4-obs","spring","bv",181,"wb4-obs-752",0,0,1,"bv",2019
"178",2019,753,"wb4","wb4-obs","spring","bv",94,"wb4-obs-753",0,0,1,"bv",2019
"179",2019,7,"wb4","wb4-obs","spring","bv",184,"wb4-obs-7",0,0,1,"bv",2019
"180",2019,795,"wb4","wb4-obs","spring","bv",312,"wb4-obs-795",0,0,1,"bv",2019
"181",2019,776,"wb4","wb4-obs","spring","bv",261,"wb4-obs-776",0,0,1,"bv",2019
"182",2019,715,"wb4","wb4-obs","spring","bv",325,"wb4-obs-715",0,0,1,"bv",2019
"183",2019,777,"wb4","wb4-obs","spring","bv",78,"wb4-obs-777",0,0,1,"bv",2019
"184",2019,757,"wb4","wb4-obs","spring","bv",264,"wb4-obs-757",0,0,1,"bv",2019
"185",2019,758,"wb4","wb4-obs","spring","bv",331,"wb4-obs-758",0,0,1,"bv",2019
"186",2019,759,"wb4","wb4-obs","spring","bv",402,"wb4-obs-759",0,0,1,"bv",2019
"187",2019,7,"wb4","wb4-obs","spring","bv",84,"wb4-obs-7",0,0,1,"bv",2019
"188",2019,762,"wb4","wb4-obs","spring","bv",63,"wb4-obs-762",0,0,1,"bv",2019
"189",2016,723,"crystal","crystal-obs","fall","bv",193,"crystal-obs-723",0,0,1,"bv",2019
"190",2016,726,"crystal","crystal-obs","fall","bv",357,"crystal-obs-726",0,0,1,"bv",2019
"191",2017,761,"wb4","wb4-obs","spring","bv",152,"wb4-obs-761",0,0,1,"bv",2019
"192",2017,762,"wb4","wb4-obs","spring","bv",81,"wb4-obs-762",0,0,1,"bv",2019
"193",2017,763,"wb4","wb4-obs","spring","bv",200,"wb4-obs-763",0,0,1,"bv",2019
"194",2017,764,"wb4","wb4-obs","spring","bv",166,"wb4-obs-764",0,0,1,"bv",2019
"195",2017,767,"wb4","wb4-obs","spring","bv",204,"wb4-obs-767",0,0,1,"bv",2019
"196",2017,7,"wb4","wb4-obs","spring","bv",293,"wb4-obs-7",0,0,1,"bv",2019
"197",2017,773,"wb4","wb4-obs","spring","bv",240,"wb4-obs-773",0,0,1,"bv",2019
"198",2017,778,"wb4","wb4-obs","spring","bv",130,"wb4-obs-778",0,0,1,"bv",2019
"199",2017,776,"wb4","wb4-obs","spring","bv",204,"wb4-obs-776",0,0,1,"bv",2019
"200",2017,765,"wb4","wb4-obs","spring","bv",285,"wb4-obs-765",0,0,1,"bv",2019
"201",2017,771,"wb4","wb4-obs","spring","bv",279,"wb4-obs-771",0,0,1,"bv",2019
"202",2017,772,"wb4","wb4-obs","spring","bv",234,"wb4-obs-772",0,0,1,"bv",2019
"203",2017,775,"wb4","wb4-obs","spring","bv",213,"wb4-obs-775",0,0,1,"bv",2019
"204",2017,788,"wb4","wb4-obs","spring","bv",204,"wb4-obs-788",0,0,1,"bv",2019
"205",2017,7,"wb4","wb4-obs","spring","bv",341,"wb4-obs-7",0,0,1,"bv",2019
"206",2017,7,"wb4","wb4-obs","spring","bv",72,"wb4-obs-7",0,0,1,"bv",2019
"207",2017,792,"wb4","wb4-obs","spring","bv",340,"wb4-obs-792",0,0,1,"bv",2019
"208",2017,821,"wb4","wb4-obs","spring","bv",91,"wb4-obs-821",0,0,1,"bv",2019
"209",2017,823,"wb4","wb4-obs","spring","bv",214,"wb4-obs-823",0,0,1,"bv",2019
"210",2017,824,"wb4","wb4-obs","spring","bv",332,"wb4-obs-824",0,0,1,"bv",2019
"211",2017,18,"wb4","wb4-obs","spring","bv",357,"wb4-obs-18",0,0,1,"bv",2019
"212",2017,789,"wb4","wb4-obs","spring","bv",92,"wb4-obs-789",0,0,1,"bv",2019
"213",2017,715,"wb4","wb4-obs","spring","bv",336,"wb4-obs-715",0,0,1,"bv",2019
"214",2017,795,"wb4","wb4-obs","spring","bv",288,"wb4-obs-795",0,0,1,"bv",2019
"215",2017,754,"wb4","wb4-obs","spring","bv",382,"wb4-obs-754",0,0,1,"bv",2019
"216",2017,822,"wb4","wb4-obs","spring","bv",79,"wb4-obs-822",0,0,1,"bv",2019
"217",2017,822,"wb4","wb4-obs","spring","bv",332,"wb4-obs-822",0,0,1,"bv",2019
"218",2015,5,"crystal","crystal-obs","fall","bv",293,"crystal-obs-5",0,0,1,"bv",2019
"219",2015,6,"crystal","crystal-obs","fall","bv",180,"crystal-obs-6",0,0,1,"bv",2019
"220",2015,7,"crystal","crystal-obs","fall","bv",355,"crystal-obs-7",0,0,1,"bv",2019
"221",2015,8,"crystal","crystal-obs","fall","bv",253,"crystal-obs-8",0,0,1,"bv",2019
"222",2015,9,"crystal","crystal-obs","fall","bv",392,"crystal-obs-9",0,0,1,"bv",2019
